#WIDTH: 38,14,25,25,25,50,8,15,28,12,18,22,30,12
#ALIGN: left,left,left,left,left,left,center,center,left,center,left,left,left,center
Parameter Name,Category,Production,Test,DR,Description,Required,Data Type,Validation Rules,Security Level,Owner Team,Dependencies,Notes,Last Updated
integration.datadog.api_key,Integration,[datadog-api-key],[datadog-api-key],[datadog-api-key],Datadog API key for APM agent authentication; stored in Secrets Manager,Yes,String,32-character hexadecimal string,Secret,Operations,,Stored in Secrets Manager under /amatra/{env}/datadog/api_key; rotated every 30 days,2025-06-15
integration.datadog.host_count,Integration,5,5,5,Number of Lambda and API Gateway hosts monitored under Datadog Pro plan per SOW licensing scope,Yes,Integer,1-100,Public,Operations,integration.datadog.api_key,5-host Datadog Pro plan per SOW software license; review at hypercare to determine if 3 hosts suffice,2025-06-15
integration.github.actions.oidc_role_arn,Integration,[github-actions-oidc-role-arn],[github-actions-oidc-role-arn],[github-actions-oidc-role-arn],IAM role ARN assumed by GitHub Actions workflows via OIDC for AWS deployments without long-lived credentials,Yes,String,Valid IAM role ARN,Secret,DevOps,aws.account_id,OIDC provider configured in IAM to trust GitHub Actions OIDC tokens; no static access keys stored in GitHub,2025-06-15
integration.github.actions.terraform_plan_branch,Integration,main,develop,main,Git branch that triggers Terraform plan in GitHub Actions CI/CD pipeline,Yes,String,Non-empty Git branch name,Public,DevOps,integration.github.actions.oidc_role_arn,Branch protection requires 1 peer review approval before merge to main; Terraform plan gates apply,2025-06-15
monitoring.cloudwatch.dashboard_name,Monitoring,amatra-platform-prod,amatra-platform-dev,amatra-platform-dr,CloudWatch operational dashboard name displaying the 7 key platform health indicators,Yes,String,Non-empty string,Public,Operations,aws.region,Provisioned via Terraform; secondary security dashboard named amatra-security-prod also deployed,2025-06-15
monitoring.cloudwatch.log_retention_days,Monitoring,365,30,365,CloudWatch Log Group retention period in days for all Lambda and API Gateway log groups,Yes,Integer,1-3653,Public,Operations,,1-year retention in Production per security audit requirements; 30 days in Dev to reduce cost,2025-06-15
monitoring.cloudwatch.synthetics_canary_interval_minutes,Monitoring,1,5,1,CloudWatch Synthetics canary invocation interval in minutes for the /api/v1/health endpoint,Yes,Integer,1-60,Public,Operations,networking.api_gateway.endpoint_type,1-minute interval in Production for rapid availability detection; failure triggers Platform-Availability-Critical alarm,2025-06-15
monitoring.alert.api_error_rate_threshold_pct,Monitoring,1,5,1,API Gateway 5xx error rate percentage threshold triggering the Platform-Availability-Critical alarm,Yes,Number,0.1-100.0,Public,Operations,monitoring.cloudwatch.dashboard_name,Severity 1 alarm; triggers SNS notification and PagerDuty escalation; 1% threshold per SLA requirement,2025-06-15
monitoring.alert.dlq_message_threshold,Monitoring,0,0,0,DLQ message count threshold triggering the DLQ-Message-Received alarm (any message is an alert),Yes,Integer,0-1000,Public,Operations,integration.sqs.dlq_name,Zero tolerance for DLQ messages; any failed job must be investigated immediately — Severity 2,2025-06-15
monitoring.alert.stepfunctions_failure_rate_pct,Monitoring,5,10,5,Step Functions execution failure rate percentage threshold triggering the Step-Functions-Failure-Rate alarm,Yes,Number,0.1-100.0,Public,Operations,compute.stepfunctions.workflow_name,Severity 2 alarm; likely caused by Bedrock quota exhaustion; check Bedrock token consumption alarm first,2025-06-15
monitoring.alert.bedrock_quota_threshold_pct,Monitoring,80,80,80,Bedrock monthly token consumption percentage threshold triggering the Bedrock-Quota-Warning alarm,Yes,Number,50.0-100.0,Public,Operations,bedrock.monthly_token_quota,Severity 2 alarm; at 80% of 90M monthly token quota (72M tokens consumed); notify admins to manage submission rate,2025-06-15
monitoring.alert.lambda_error_rate_threshold_pct,Monitoring,5,10,5,Lambda function error rate percentage threshold for any individual function triggering an alert,Yes,Number,0.1-100.0,Public,Operations,compute.lambda.brief_submission.reserved_concurrency,Severity 2 alarm applies to all Lambda functions; check recent deployments and CloudWatch logs on trigger,2025-06-15
monitoring.alert.api_latency_p95_threshold_ms,Monitoring,5000,5000,5000,API Gateway P95 latency threshold in milliseconds triggering the API-Latency-P95-Breach alarm,Yes,Integer,100-60000,Public,Operations,networking.api_gateway.endpoint_type,Severity 3 alarm; investigate Lambda cold starts and DynamoDB throttling if triggered,2025-06-15
monitoring.alert.sns_topic_arn,Monitoring,[sns-ops-topic-arn],[sns-ops-topic-arn],[sns-ops-topic-arn],SNS topic ARN receiving all CloudWatch alarm notifications for the operations team,Yes,String,Valid SNS topic ARN,Confidential,Operations,,Subscriptions: operations team email and PagerDuty endpoint for Severity 1 alarms; provisioned via Terraform,2025-06-15
monitoring.xray.enabled,Monitoring,true,true,true,Enable AWS X-Ray distributed tracing on all Lambda functions and API Gateway,Yes,Boolean,true|false,Public,Operations,,Active tracing enabled on all Lambda functions; X-Ray sampling rate configured to 5% in Production,2025-06-15
monitoring.xray.sampling_rate,Monitoring,0.05,1.0,0.05,X-Ray trace sampling rate; 1.0 = 100% of requests traced,Yes,Number,0.01-1.0,Public,Operations,monitoring.xray.enabled,5% sampling in Production to control X-Ray costs; 100% in Dev for full debugging visibility,2025-06-15
operations.backup.pitr_enabled,Operations,true,false,true,Enable DynamoDB PITR on all platform tables in Production and DR environments,Yes,Boolean,true|false,Public,Operations,storage.dynamodb.solution_state_table,Required for 1-hour RPO target; PITR provides any-second recovery within 35-day window,2025-06-15
operations.backup.s3_versioning_enabled,Operations,true,true,true,Enable S3 object versioning on the artifacts bucket for rollback and artifact regeneration support,Yes,Boolean,true|false,Public,Operations,storage.s3.artifacts_bucket_name,Versioning required for DR and artifact re-generation capability; increases storage cost marginally,2025-06-15
operations.backup.s3_cross_region_replication,Operations,true,false,false,Enable S3 cross-region replication from the Production artifacts bucket to the DR bucket in us-east-1,Yes,Boolean,true|false,Public,Operations,storage.s3.dr_replication_bucket,Provides sub-minute RPO for artifact storage; DR bucket is read-only; no customer data served from us-east-1,2025-06-15
operations.dr.rto_hours,Operations,4,4,4,Recovery Time Objective in hours as committed in the SOW for full platform restoration,Yes,Integer,1-72,Public,Operations,,RTO achieved via Terraform IaC redeployment (2 hours) plus DynamoDB PITR restoration (1 hour),2025-06-15
operations.dr.rpo_hours,Operations,1,1,1,Recovery Point Objective in hours as committed in the SOW; maximum acceptable data loss window,Yes,Integer,1-24,Public,Operations,operations.backup.pitr_enabled,RPO achieved via DynamoDB PITR (continuous) and S3 cross-region replication (sub-minute lag),2025-06-15
operations.usage_limits.default_user_monthly_limit,Operations,50,50,50,Default per-user monthly generation limit applied to new Cognito users unless overridden by admin,Yes,Integer,1-1000,Public,Operations,security.cognito.user_pool_id,Admins can override per-user limit via PUT /api/v1/admin/usage/limits/user/{user_id} API,2025-06-15
operations.usage_limits.default_global_monthly_limit,Operations,500,50,500,Default global monthly generation limit across all users; configurable by admins via admin API,Yes,Integer,1-10000,Public,Operations,operations.usage_limits.default_user_monthly_limit,Global limit prevents runaway Bedrock token consumption; sized for 24 engagements/quarter with buffer,2025-06-15
operations.scaling.lambda_provisioned_concurrency.brief_submission,Operations,2,0,2,Provisioned concurrency for the Brief Submission Lambda to mitigate cold starts,Yes,Integer,0-1000,Public,Operations,compute.lambda.brief_submission.reserved_concurrency,Provisioned concurrency adds cost ($0.015/GB-hour); tune down in Dev to 0 to save cost,2025-06-15
operations.scaling.lambda_provisioned_concurrency.job_status,Operations,2,0,2,Provisioned concurrency for the Job Status Lambda to ensure low-latency polling responses,Yes,Integer,0-1000,Public,Operations,compute.lambda.job_status.reserved_concurrency,Reduces P99 polling latency for pre-sales consultants checking job completion,2025-06-15
operations.maintenance.cognito_access_review_interval_days,Operations,90,90,90,Interval in days for quarterly Cognito user group membership reviews by the Security & Compliance Lead,Yes,Integer,30-365,Public,Security Team,security.cognito.user_pool_id,Quarterly review is a SOC 2 CC6.1 control requirement; review action items tracked in Jira,2025-06-15
operations.maintenance.offboarding_revocation_hours,Operations,24,24,24,Maximum hours within which a departed employee's Cognito access must be revoked after offboarding notification,Yes,Integer,1-72,Public,Security Team,security.cognito.user_pool_id,24-hour SLA per SOW governance policy; exceeding this triggers a SOC 2 compliance finding,2025-06-15
operations.tagging.environment,Operations,prod,dev,dr,Mandatory AWS resource tag value for the Environment tag applied to all Terraform-provisioned resources,Yes,String,"prod|staging|dev|dr",Public,DevOps,,Enforced via AWS Config tag compliance rule; non-compliant resources trigger Config finding,2025-06-15
operations.tagging.cost_center,Operations,AISB-2025-PROD,AISB-2025-DEV,AISB-2025-DR,Mandatory CostCenter tag value for AWS cost allocation and billing reporting,Yes,String,Non-empty string,Public,Cloud CoE,operations.tagging.environment,Required for accurate infrastructure cost tracking per infrastructure-costs.csv model,2025-06-15
cicd.terraform.state_backend_region,CI/CD,us-west-2,us-west-2,us-west-2,AWS region of the S3 Terraform state backend bucket,Yes,String,Valid AWS region code,Confidential,DevOps,storage.s3.terraform_state_bucket,Must match the region where the state bucket was created; do not change after initial provisioning,2025-06-15
cicd.terraform.workspace,CI/CD,prod,dev,dr,Terraform workspace name used to isolate state files per environment,Yes,String,"prod|staging|dev|dr",Public,DevOps,storage.s3.terraform_state_bucket,Workspace name is used as a state key prefix: env:/{workspace}/terraform.tfstate,2025-06-15
cicd.github.repository,CI/CD,amatra/intelligent-solution-builder,amatra/intelligent-solution-builder,amatra/intelligent-solution-builder,GitHub repository identifier for the platform source code and CI/CD workflows,Yes,String,"{org}/{repo}" format,Public,DevOps,,Branch protection rules require 1 peer review approval before merge to main,2025-06-15
cicd.github.protected_branch,CI/CD,main,develop,main,Branch name that triggers production Terraform apply and Lambda deployment workflows,Yes,String,Non-empty Git branch name,Public,DevOps,cicd.github.repository,Only GitHub Actions OIDC role may apply Terraform to Production; manual AWS console changes are prohibited,2025-06-15
cicd.ecr.image_tag_policy,CI/CD,immutable,mutable,immutable,ECR image tag mutability policy; immutable in Production to prevent tag overwriting,Yes,String,"IMMUTABLE|MUTABLE",Public,DevOps,compute.ecr.repository_prefix,Immutable tags in Production ensure deployed image SHA is always traceable; mutable in Dev for faster iteration,2025-06-15
